ID,Label
1,Jinteki: Personal Evolution
2,Executive Retreat
3,Braintrust
4,Fetal AI
5,Edge of World
6,Snare!
7,Project Junebug
8,Chum
9,Data Mine
10,Chimera
11,Ice Wall
12,Draco
13,Neural Katana
14,Wall of Static
15,Enigma
16,Shipment from Mirrormorph
17,Beanstalk Royalties
18,Green Level Clearance
19,Hedge Fund
20,Anonymous Tip
21,Nisei MK II
22,Priority Requisition
23,Melange Mining Corp
24,Zaibatsu Loyalty
25,Sensei
26,Woodcutter
27,Wall of Thorns
28,Shipment from Kaguya
29,Sunset
30,Trick of Light
31,Private Security Force
32,PAD Campaign
33,Private Contracts
34,Aggressive Secretary
35,Pop-up Window
36,Archived Memories
37,Red Herrings
38,Jinteki: Replicating Perfection
39,Snowflake
40,Rototurret
41,Matrix Analyzer
42,Viktor 1.0
43,Precognition
44,Security Subcontract
45,Neural EMP
46,Akitaro Watanabe
47,Encryption Protocol
48,Dedicated Server
49,Ichi 1.0
50,False Lead
51,Janus 1.0
52,Archer
53,Ghost Branch
54,Data Raven
55,Hunter
56,Closed Accounts
57,Bullfrog
58,Cell Portal
59,Hourglass
60,Adonis Campaign
61,Viper
62,Shadow
63,Scorched Earth
64,Marked Accounts
65,Uroboros
66,Aggressive Negotiation
67,Tollbooth
68,Caduceus
69,Oversight AI
70,SEA Source
71,Sherlock 1.0
72,Experiential Data
73,Amazon Industrial Zone
74,Corporate Troubleshooter
75,Heimdall 1.0
76,Ash 2X3ZB9CY
77,Hadrian's Wall
78,SanSan City Grid
79,Psychographics
80,Freelancer
81,Hostile Takeover
82,Accelerated Beta Test
83,Posted Bounty
84,Project Vitruvius
85,Research Station
86,Breaking News
87,AstroScript Pilot Program
88,TMI
89,ChiLo City Grid
